Step,Reward,Action,Link_Cost,Decision_Type
500,-100.00,49,1.00,RL
501,-100.00,49,1.00,RL
502,-100.00,49,1.00,RL
503,-100.00,49,1.00,RL
504,-100.00,49,1.00,RL
505,-100.00,49,1.00,RL
506,-100.00,49,1.00,RL
507,-100.00,49,1.00,RL
508,-100.00,49,1.00,RL
509,-100.00,49,1.00,RL
510,-100.00,49,1.00,RL
511,-100.00,49,1.00,RL
512,-100.00,49,1.00,RL
513,-100.00,49,1.00,RL
514,-100.00,49,1.00,RL
515,-100.00,49,1.00,RL
516,-100.00,49,1.00,RL
517,-100.00,49,1.00,RL
518,-100.00,49,1.00,RL
519,-100.00,49,1.00,RL
520,-100.00,49,1.00,RL
521,-100.00,49,1.00,RL
522,-100.00,49,1.00,RL
523,-100.00,49,1.00,RL
524,-100.00,49,1.00,RL
525,-100.00,49,1.00,RL
526,-100.00,49,1.00,RL
527,-100.00,49,1.00,RL
528,-100.00,49,1.00,RL
529,-100.00,49,1.00,RL
530,-100.00,49,1.00,RL
531,-100.00,49,1.00,RL
532,-100.00,49,1.00,RL
533,-100.00,49,1.00,RL
534,-100.00,49,1.00,RL
535,-100.00,49,1.00,RL
536,-100.00,49,1.00,RL
537,-100.00,49,1.00,RL
538,-100.00,49,1.00,RL
539,-100.00,49,1.00,RL
540,-100.00,49,1.00,RL
541,-100.00,49,1.00,RL
542,-100.00,49,1.00,RL
543,-100.00,49,1.00,RL
544,-100.00,49,1.00,RL
545,-100.00,49,1.00,RL
546,-100.00,49,1.00,RL
547,-100.00,49,1.00,RL
548,-100.00,49,1.00,RL
549,-100.00,49,1.00,RL
550,-100.00,49,1.00,RL
551,-100.00,49,1.00,RL
552,-100.00,49,1.00,RL
553,-100.00,49,1.00,RL
554,-100.00,49,1.00,RL
555,-100.00,49,1.00,RL
556,-100.00,49,1.00,RL
557,-100.00,49,1.00,RL
558,-100.00,49,1.00,RL
559,-100.00,49,1.00,RL
560,-100.00,49,1.00,RL
561,-100.00,49,1.00,RL
562,-100.00,49,1.00,RL
563,-100.00,49,1.00,RL
564,-100.00,49,1.00,RL
565,-100.00,49,1.00,RL
566,-100.00,49,1.00,RL
567,-100.00,49,1.00,RL
568,-100.00,49,1.00,RL
569,-100.00,49,1.00,RL
570,-100.00,49,1.00,RL
571,-100.00,49,1.00,RL
572,-100.00,49,1.00,RL
573,-100.00,49,1.00,RL
574,-100.00,49,1.00,RL
575,-100.00,49,1.00,RL
576,-100.00,49,1.00,RL
577,-100.00,49,1.00,RL
578,-100.00,49,1.00,RL
579,-100.00,49,1.00,RL
580,-100.00,49,1.00,RL
581,-100.00,49,1.00,RL
582,-100.00,49,1.00,RL
583,-100.00,49,1.00,RL
584,-100.00,49,1.00,RL
585,-100.00,49,1.00,RL
586,-100.00,49,1.00,RL
587,-100.00,49,1.00,RL
588,-100.00,49,1.00,RL
589,-100.00,49,1.00,RL
590,-100.00,49,1.00,RL
591,-100.00,49,1.00,RL
592,-100.00,49,1.00,RL
593,-100.00,49,1.00,RL
594,-100.00,49,1.00,RL
595,-100.00,49,1.00,RL
596,-100.00,49,1.00,RL
597,-100.00,49,1.00,RL
598,-100.00,49,1.00,RL
599,-100.00,49,1.00,RL
600,-100.00,49,1.00,RL
601,-100.00,49,1.00,RL
602,-100.00,49,1.00,RL
603,-100.00,49,1.00,RL
604,-100.00,49,1.00,RL
605,-100.00,49,1.00,RL
606,-100.00,49,1.00,RL
607,-100.00,49,1.00,RL
608,-100.00,49,1.00,RL
609,-100.00,49,1.00,RL
610,-100.00,49,1.00,RL
611,-100.00,49,1.00,RL
612,-100.00,49,1.00,RL
613,-100.00,49,1.00,RL
614,-100.00,49,1.00,RL
615,-100.00,49,1.00,RL
616,-100.00,49,1.00,RL
617,-100.00,49,1.00,RL
618,-100.00,49,1.00,RL
619,-100.00,49,1.00,RL
620,-100.00,49,1.00,RL
621,-100.00,49,1.00,RL
622,-100.00,49,1.00,RL
623,-100.00,49,1.00,RL
624,-100.00,49,1.00,RL
625,-100.00,49,1.00,RL
626,-100.00,49,1.00,RL
627,-100.00,49,1.00,RL
628,-100.00,49,1.00,RL
629,-100.00,49,1.00,RL
630,-100.00,49,1.00,RL
631,-100.00,49,1.00,RL
632,-100.00,49,1.00,RL
633,-100.00,49,1.00,RL
634,-100.00,49,1.00,RL
635,-100.00,49,1.00,RL
636,-100.00,49,1.00,RL
637,-100.00,49,1.00,RL
638,-100.00,49,1.00,RL
639,-100.00,49,1.00,RL
640,-100.00,49,1.00,RL
